sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2024-07-12,127,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,37236544953.9185,56.9898,11.5283,0.0274,0.0155,-0.0242,-0.0502,128.7555,135.7651,136.9106,-0.013,-0.0639,-0.0718,0.5442,0.2308,0.1958
Healthcare,2024-07-19,132,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,38554545562.7441,59.0069,11.9364,0.0265,0.0354,-0.0005,-0.028,128.7389,135.4494,136.9386,0.0221,-0.0285,-0.0391,0.5442,0.2308,0.1958
Healthcare,2024-07-26,133,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,38914949511.7188,59.5585,12.048,0.0262,0.0093,0.0128,-0.0296,129.1583,135.1114,136.9714,0.0283,-0.017,-0.0303,0.5442,0.2308,0.1958
Healthcare,2024-08-02,139,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,40357767663.5742,43.3395,8.3904,0.0497,0.0442,0.1082,-0.0252,132.5437,134.813,137.2898,0.0463,0.0287,0.0102,0.5494,0.211,0.1787
Healthcare,2024-08-09,134,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,39113316394.043,42.0031,8.1317,0.0513,-0.0308,0.0576,-0.1074,134.3744,133.465,137.4053,0.0003,0.0071,-0.0218,0.5494,0.211,0.1787
Healthcare,2024-08-16,136,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,39712776571.6553,42.6469,8.2563,0.0505,0.0153,0.0371,-0.0946,135.5955,132.2766,137.5197,0.0064,0.0317,-0.0076,0.5494,0.211,0.1787
Healthcare,2024-08-23,139,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,40425202615.3564,43.4119,8.4044,0.0496,0.0179,0.0459,0.0119,137.1212,132.4123,137.299,0.0131,0.0491,0.0118,0.5494,0.211,0.1787
Healthcare,2024-08-30,140,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,40814851153.5644,43.8304,8.4854,0.0491,0.0096,0.0113,0.0723,137.5139,133.2,137.0928,0.0199,0.053,0.0231,0.5494,0.211,0.1787
Healthcare,2024-09-06,137,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,39820563262.9394,42.7626,8.2787,0.0504,-0.0244,0.0181,0.0507,138.1215,133.7504,136.7335,-0.0093,0.0231,0.0008,0.5494,0.211,0.1787
Healthcare,2024-09-13,136,4810000000.0,3.2,2005000000.0,938000000.0,0.0064,,-0.0762,,39686261718.75,42.6184,8.2508,0.0505,-0.0034,-0.0007,0.0359,138.0987,134.1444,136.4239,-0.0125,0.0167,-0.0003,0.5494,0.211,0.1787
